vtuber,gen,channel_id
tokino_sora,gen_0,UCp6993wxpyDPHUpavwDFqgg
hoshimachi_suisei,gen_0,UC5CwaMl1eIgY8h02uZw7u8A
roboco,gen_0,UCDqI2jOz0weumE8s7paEk6g
sakura_miko,gen_0,UC-hM6YJuNYVAmUWxeIr9FeA
azki,gen_0,UC0TXe_LYZ4scaW2XMyi5_kw
shirakami_fubuki,gen_1,UCdn5BQ06XqgXoAxIhbqw5Rg
natsuiro_matsuri,gen_1,UCQ0UDLQCjY0rmuxCDE38FGg
haachama,gen_1,UC1CfXB_kRs3C-zaeTG3oGyg
aki_rosenthal,gen_1,UCFTLzh12_nrtzqBPsTCqenA
oozora_subaru,gen_2,UCvzGlP9oQwU--Y0r9id_jnA
murasaki_shion,gen_2,UCXTpFs_3PqI41qX2d9tL2Rw
nakiri_ayame,gen_2,UC7fk0CB07ly8oSl0aqKkqFg
yuzuki_choco,gen_2,UC1suqwovbL1kzsoaZgFZLKg
usada_pekora,gen_3,UC1DCedRgGHBdm81E1llLhOQ
houshou_marine,gen_3,UCCzUftO8KOVkV4wQG1vkUvg
shirogane_noel,gen_3,UCdyqAaZDKHXg4Ahi7VENThQ
shiranui_flare,gen_3,UCvInZx9h3jC2JzsIzoOebWg
tokoyami_towa,gen_4,UC1uv2Oq6kNxgATlCiez59hw
amane_kanata,gen_4,UCZlDXzGoo7d44bwdNObFacg
tsunomaki_watame,gen_4,UCqm3BQLlJfvkTsX_hvm0UmA
himemori_luna,gen_4,UCa9Y57gfeY0Zro_noHRVrnw
momosuzu_nene,gen_5,UCAWSyEs_Io8MtpY3m-zqILA
shishiro_botan,gen_5,UCUKD-uaobj9jiqB-VXt71mA
yukihana_lamy,gen_5,UCFKOVgVbGmX65RxO3EtH3iw
omaru_polka,gen_5,UCK9V2B22uJYu3N7eR_BT9QA
inugami_korone,gamers,UChAnqc_AY5_I3Px5dig3X1Q
ookami_mio,gamers,UCp-5t9SrOQwXMU7iIjQfARg
nekomata_okayu,gamers,UCvaTdHTWBGv3MKj3KVqJVCw
laplus_darknesss,gen_6,UCENwRMx5Yh42zWpzURebzTw
takane_lui,gen_6,UCs9_O1tRPMQTHQ-N_L6FU2g
hakui_koyori,gen_6,UC6eWCld0KwmyHFbAqK3V-Rw
sakamata_chloe,gen_6,UCIBY1ollUsauvVi4hW4cumw
kazama_iroha,gen_6,UC_vMYWcDjmfdpH6r4TTn1MQ
